Country,Deaths
Afghanistan,7174
Albania,2553
Algeria,5614
Andorra,130
Angola,1358
Anguilla,0
Antigua and Barbuda,48
Argentina,113816
Armenia,5056
Aruba,156
Australia,1116
Austria,10849
Azerbaijan,6167
Bahamas,463
Bahrain,1388
Bangladesh,27007
Barbados,52
Belarus,3941
Belgium,25477
Belize,383
Benin,146
Bermuda,36
Bhutan,3
Bolivia,18603
Bosnia and Herzegovina,10099
Botswana,2337
Brazil,587847
British Virgin Islands,37
Brunei,21
Bulgaria,19744
Burkina Faso,171
Burundi,38
Cabo Verde,323
Cambodia,2067
Cameroon,1357
Canada,27262
Caribbean Netherlands,17
Cayman Islands,2
Central African Rep.,100
Chad,174
Channel Islands,96
Chile,37253
China,4636
Colombia,125713
Comoros,147
Congo,183
Costa Rica,5851
Côte d'Ivoire,534
Croatia,8456
Cuba,6449
Curaçao,155
Cyprus,534
Czechia,30417
Dem. Rep. Congo,1068
Denmark,2614
Diamond Princess,13
Djibouti,157
Dominica,8
Dominican Republic,4020
Ecuador,32491
Egypt,16895
El Salvador,3056
Equatorial Guinea,131
Eritrea,40
Estonia,1313
Eswatini,1186
Ethiopia,5001
Faeroe Islands,2
Falkland Islands,0
Fiji,539
Finland,1039
France,115697
French Guiana,231
French Polynesia,581
Gabon,173
Gambia,328
Georgia,8347
Germany,93319
Ghana,1098
Gibraltar,97
Greece,14268
Greenland,0
Grenada,35
Guadeloupe,612
Guatemala,12795
Guinea,368
Guinea-Bissau,127
Guyana,692
Haiti,596
Honduras,9400
Hong Kong,213
Hungary,30114
Iceland,33
India,443528
Indonesia,139415
Iran,115167
Iraq,21596
Ireland,5155
Isle of Man,38
Israel,7438
Italy,130027
Jamaica,1736
Japan,16846
Jordan,10568
Kazakhstan,10491
Kenya,4928
Kuwait,2434
Kyrgyzstan,2578
Laos,16
Latvia,2621
Lebanon,8210
Lesotho,403
Liberia,283
Libya,4457
Liechtenstein,60
Lithuania,4740
Luxembourg,834
Macao,0
Madagascar,958
Malawi,2244
Malaysia,21587
Maldives,227
Mali,543
Malta,449
Marshall Islands,0
Martinique,509
Mauritania,760
Mauritius,45
Mayotte,176
Mexico,269015
Micronesia,0
Moldova,6548
Monaco,33
Mongolia,1066
Montenegro,1813
Montserrat,1
Morocco,13683
Mozambique,1895
MS Zaandam,2
Myanmar,16693
Namibia,3437
Nepal,10984
Netherlands,18083
New Caledonia,4
New Zealand,27
Nicaragua,202
Niger,201
Nigeria,2637
North Macedonia,6307
North Korea, 0
Norway,829
Oman,4090
Pakistan,26938
Palau,0
Palestine,3837
Panama,7152
Papua New Guinea,204
Paraguay,16114
Peru,198840
Philippines,35529
Poland,75433
Portugal,17872
Qatar,604
Réunion,358
Romania,35132
Russia,194249
Rwanda,1180
South Korea,2380
S. Sudan,121
Saint Helena,0
Saint Kitts and Nevis,8
Saint Lucia,132
Saint Martin,45
Saint Pierre Miquelon,
Samoa,0
San Marino,90
Sao Tome and Principe,42
Saudi Arabia,8633
Senegal,1837
Serbia,7601
Seychelles,110
Sierra Leone,121
Singapore,58
Sint Maarten,58
Slovakia,12562
Slovenia,4473
Solomon Islands,0
Somalia,1032
South Africa,85302
Spain,85548
Sri Lanka,11567
St. Barth,2
St. Vincent Grenadines,13
Sudan,2873
Suriname,773
Sweden,14688
Switzerland,11010
Syria,2090
Taiwan,839
Tajikistan,124
Tanzania,50
Thailand,14765
Timor-Leste,98
Togo,208
Trinidad and Tobago,1386
Tunisia,24274
Turkey,60393
Turkmenistan,0
Turks and Caicos,21
Uganda,3103
Ukraine,54550
United Arab Emirates,2066
United Kingdom,134446
United States of America,682341
Uruguay,6044
Uzbekistan,1169
Vanuatu,1
Vatican City,0
Venezuela,4228
Vietnam,15936
Wallis and Futuna,7
W. Sahara,1
Yemen,1608
Zambia,3635
Zimbabwe,4550
